"Name","Address","Category","Source"
"Тоннель спасения (в составе тура осады)","Tunnel of Hope, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md"
"Ćevabdžinica Petica Ferhatović (раунд 2 дерби)","Ćevabdžinica Petica Ferhatović, Bravadžiluk, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md; bosnia_trip_plan.md"
"Казанджилук (медники, воркшоп джезвы у Huseinović)","Kazandžiluk, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md"
"Sultan Spa (хамам-ритуал 90–120 мин)","Sultan Spa, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md"
"Amman Spa (хамам, альтернатива у Башчаршии)","Amman Spa & Hammam, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md"
"Канатка на Требевич (нижняя станция, 30 KM)","Sarajevo Cable Car, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md"
"Бобслейная трасса Олимпиады-84","Trebević Bobsleigh Track, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md"
"Bijela Tabija (Белая крепость, закат)","Bijela Tabija, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md"
"Pivnica HS (тёмное Sarajevsko, пивоварня осады)","Pivnica HS, Franjevačka 15, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md; bosnia_trip_plan.md"
"War Childhood Museum (резерв)","War Childhood Museum, Logavina 32, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md"
"Ночной бурек из-под сача (Bravadžiluk)","Bravadžiluk, Sarajevo, Bosnia and Herzegovina","День 3","day_03_sarajevo_deep_city.md; bosnia_trip_plan.md"
"База квадров Babin Do (Quad Tour Bjelašnica)","Babin Do, Bjelašnica, Bosnia and Herzegovina","День 4","day_04_umoljani_lukomir.md; bosnia_trip_plan.md"
"Умоляни (село, мечеть, легенда о драконе)","Umoljani, Bosnia and Herzegovina","День 4","day_04_umoljani_lukomir.md"
"Koliba Umoljani (обед: пита, uštipci, каймак)","Koliba Umoljani, Umoljani, Bosnia and Herzegovina","День 4","day_04_umoljani_lukomir.md"
"Меандры Studeni potok (инстаграм-долина)","Studeni potok, Umoljani, Bosnia and Herzegovina","День 4","day_04_umoljani_lukomir.md"
"Стечки некрополя Dolovi (ЮНЕСКО)","Nekropola stećaka Dolovi, Umoljani, Bosnia and Herzegovina","День 4","day_04_umoljani_lukomir.md"
"Лукомир (1470 м, ночёвка, кэш!)","Lukomir, Bosnia and Herzegovina","День 4","day_04_umoljani_lukomir.md; bosnia_trip_plan.md"
"Guesthouse Letnja Bašta (ночлег, вариант 1)","Guesthouse Letnja Bašta, Lukomir, Bosnia and Herzegovina","День 4","day_04_umoljani_lukomir.md; bosnia_trip_plan.md"
"Bobića konak (ночлег, вариант 2, есть приватный санузел)","Bobića konak, Lukomir, Bosnia and Herzegovina","День 4","day_04_umoljani_lukomir.md; bosnia_trip_plan.md"
"Смотровая Vidikovac (закат над каньоном Ракитницы)","Vidikovac, Lukomir, Bosnia and Herzegovina","День 4","day_04_umoljani_lukomir.md"
"Коньиц — османский мост 1682 (обед у реки)","Stara ćuprija, Konjic, Bosnia and Herzegovina","День 5","day_06_quads_boracko.md"
"Rukotvorine (резьба по дереву ЮНЕСКО, семья Никшич)","Rukotvorine, Konjic, Bosnia and Herzegovina","День 5","day_06_quads_boracko.md"
"Борачко озеро (купание, вода 22–25°)","Boračko jezero, Konjic, Bosnia and Herzegovina","День 5","day_06_quads_boracko.md"
"Eko selo Boračko jezero (домики 30–50 €)","Eko selo Boračko jezero, Konjic, Bosnia and Herzegovina","День 5","day_06_quads_boracko.md; bosnia_trip_plan.md"
"Бункер Тито ARK D-0 (тур 9:00, бронь за 12 ч, кэш 40 KM)","Tito's bunker ARK D-0, Konjic, Bosnia and Herzegovina","День 6","day_07_lake_bunker_sarajevo.md; bosnia_trip_plan.md"
"Ябланица — взорванный мост («Битва на Неретве»)","Muzej Bitka za ranjenike na Neretvi, Jablanica, Bosnia and Herzegovina","День 6","day_07_lake_bunker_sarajevo.md"
"Ябланица — jagnjetina na ražnju (обед у трассы)","Jablanica, Bosnia and Herzegovina","День 6","day_07_lake_bunker_sarajevo.md; bosnia_trip_plan.md"
"Vinarija Brkić (биодинамика, Žilavka/Blatina, бронь за 1–2 дня)","Vinarija Brkić, Čitluk, Bosnia and Herzegovina","День 6","day_07_lake_bunker_sarajevo.md; bosnia_trip_plan.md"
"Podrumi Andrija (винодельня + семейный музей)","Podrumi Andrija, Čitluk, Bosnia and Herzegovina","День 6","day_07_lake_bunker_sarajevo.md; bosnia_trip_plan.md"
"Благай — текия дервишей и исток Буны (форель)","Blagaj Tekija, Blagaj, Bosnia and Herzegovina","День 6","day_07_lake_bunker_sarajevo.md; day_08_mostar_train.md"
"Мостар — старый город (въезд после 17:00!)","Old Town Mostar, Mostar, Bosnia and Herzegovina","День 6","day_07_lake_bunker_sarajevo.md"
"Stari Most (рассвет + прыжок ~24 м)","Stari Most, Mostar, Bosnia and Herzegovina","День 7","day_08_mostar_train.md; day_07_lake_bunker_sarajevo.md"
"Клуб ныряльщиков Mostari (домик у моста, ~50 €)","Mostari Diving Club, Stari Most, Mostar, Bosnia and Herzegovina","День 7","day_08_mostar_train.md; bosnia_trip_plan.md"
"Почитель (опция по пути, город-амфитеатр)","Počitelj, Bosnia and Herzegovina","День 7","day_08_mostar_train.md"
"Sevdah Art House (пт 20:00 — вариант с ночью 7 в Сараево)","Sevdah Art House, Halači 5, Sarajevo, Bosnia and Herzegovina","День 7","day_08_mostar_train.md; bosnia_trip_plan.md"
"Граница Мали Зворник (обратно, 24/7)","Granični prelaz Mali Zvornik, Serbia","День 7","day_08_mostar_train.md; bosnia_trip_plan.md"
